站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0I110,竹山,161,120.6882,23.7612,南投縣,竹山鎮延和里向學街32號(竹山國民小學內),1992/07/01,　,　,　,　
C0I360,水里,300,120.8498,23.8126,南投縣,水里鄉中山路一段515號(玉山國家公園管理處),2016/01/01,　,　,　,　
C0I370,魚池,671,120.9414,23.8957,南投縣,魚池鄉東池村魚池街194號(魚池鄉衛生所),2016/01/01,　,　,　,　
C0I380,集集,258,120.8015,23.8282,南投縣,集集鎮民生東路1號(農委會特有生物研究保育中心),2016/01/01,　,　,　,　
C0I390,仁愛,1184,121.1322,24.0221,南投縣,仁愛鄉仁和路50號(台電公司仁愛服務所),2016/01/01,　,　,　,　
C0I410,名間,180,120.7014,23.8371,南投縣,名間鄉董門巷2號(名間鄉立體停車場),2016/01/01,　,　,　,　
C0I420,國姓,305,120.8551,24.0378,南投縣,國姓鄉民族街40號(國姓鄉老人文康活動中心),2016/01/01,　,　,　,　
C0I460,南投,110,120.6792,23.9132,南投縣,南投市龍泉里玉井街5號(南投市公所樓頂),2015/09/21,　,　,　,　
C0I480,梅峰,2165,121.1736,24.0853,南投縣,仁愛鄉大同村仁和路215號(梅峰農場),2016/01/01,　,　,　,　
C0I490,萬大林道,1601,121.0914,23.9282,南投縣,仁愛鄉曲冰段(萬大林道約7.2k附近高地),2016/01/01,　,　,　,　
C0I520,玉山風口,3860,120.956,23.4705,南投縣,信義鄉(玉山主峰往北峰叉路空地附近),2016/07/15,　,　,　,　
C0K240,草嶺,1132,120.6935,23.5956,雲林縣,古坑鄉草嶺村龍頭,1992/07/01,　,　,　,　
C0K250,崙背,59,120.3189,23.7556,雲林縣,崙背鄉阿勸村阿勸農場(阿勸段487號),2016/01/01,　,原(C1K250)站因擴充為氣象站，於2015/6/8升級為(C0K250)站。,C1K250,　
C0K280,四湖,23,120.2271,23.6304,雲林縣,四湖鄉湖西村中正路766號(四湖國民中學內),1993/03/01,　,本站於2015/7/18起進行儀器汰換，並於2015/12/31完成驗收。,　,　
C0K291,宜梧,8,120.1693,23.5363,雲林縣,口湖鄉湖口村170號央廣口湖分台內(憲兵排樓頂),2010/09/27,　,原(C0K290)站因觀測位置不佳，於2010/9/27更變為(C0K291)站。於2015/7/1遷移至原址鄰近旁建物樓頂並進行儀器汰換。,C0K290,　
C0K330,虎尾,38,120.442,23.7192,雲林縣,虎尾鎮林森路一段64號(中正國民小學內),1993/03/01,　,本站於2015/5/27起進行儀器汰換，並於2015/7/1完成驗收。,　,　
C0K390,土庫,31,120.3956,23.679,雲林縣,土庫鎮建國路41號(土庫消防分隊),2015/07/03,　,　,　,　
C0K400,斗六,65,120.5411,23.7206,雲林縣,斗六市鎮北路345-1號(斗六消防分隊),2015/07/03,　,　,　,　
C0K410,北港,20,120.2928,23.574,雲林縣,北港鎮大同路565號(北港消防分隊),2015/07/03,　,　,　,　
C0K420,西螺,42,120.4674,23.8004,雲林縣,西螺鎮公正路211號(西螺消防分隊),2015/07/03,　,　,　,　
C0K430,褒忠,30,120.3036,23.6909,雲林縣,褒忠鄉中正路451號(褒忠鄉公所),2015/07/03,　,　,　,　
C0K440,二崙,35,120.4089,23.7728,雲林縣,雲林縣二崙鄉中正路80號(二崙消防分隊),2016/01/01,　,　,　,　
C0K450,大埤,35,120.4315,23.6461,雲林縣,大埤鄉中山路8號(大埤鄉公所),2015/07/03,　,　,　,　
C0K460,斗南,60,120.4784,23.6787,雲林縣,雲林縣斗南鎮延平路二段266號(斗南鎮停一立體停車場),2015/07/03,　,　,　,　
C0K470,林內,97,120.6096,23.7487,雲林縣,林內鄉中正路685號(林內消防分隊),2016/01/01,　,　,　,　
C0K480,莿桐,56,120.5024,23.7612,雲林縣,莿桐鄉和平路53號(莿桐鄉公所),2016/01/01,　,　,　,　
C0K490,古坑,91,120.5598,23.6543,雲林縣,古坑鄉中山路393號(古坑消防分隊),2015/07/03,　,　,　,　
C0K500,元長,12,120.315,23.6498,雲林縣,元長鄉長南村仁愛街2號(元長鄉公所),2015/07/03,　,　,　,　
C0K510,水林,10,120.246,23.5729,雲林縣,水林鄉水北村水林路12號(水林鄉公所),2015/07/03,　,　,　,　
C0K520,雲林東勢,10,120.1548,23.6744,雲林縣,東勢鄉東南村所前街3號(東勢鄉公所),2015/07/03,　,　,　,　
C0K530,臺西,12,120.1976,23.7015,雲林縣,台西鄉中山路110巷38號(臺西消防分隊),2015/07/03,　,　,　,　
C0K550,蔦松,15,120.2297,23.5143,雲林縣,水林鄉松中村蔦松路213號(蔦松國小),2016/01/01,　,　,　,　
C0K560,棋山,117,120.6034,23.6865,雲林縣,古坑鄉棋盤村棋山49號(棋山國小),2016/01/01,　,　,　,　
C0M410,馬頭山,245,120.582,23.3244,嘉義縣,大埔鄉永樂村1鄰內灣仔2號,1988/12/01,　,本站於 2013/3/21 進行儀器汰換，並於2013/8/1完成驗收。,　,　
C0M520,東後寮,15,120.2481,23.3699,嘉義縣,義竹鄉東光村7號(台糖東後寮農場),2015/07/03,　,原(C1M520)站因擴充為氣象站，於2015/7/1升級為(C0M520)站。,C1M520,　
C0M530,奮起湖,1385,120.6993,23.4939,嘉義縣,竹崎鄉阿里山事業區148林班地(中興苗圃內),1993/03/01,　,本站於2015/7/7起進行儀器汰換，並於2015/12/31完成驗收。,　,　
C0M640,中埔,155,120.5229,23.4254,嘉義縣,中埔鄉中埔村128號(中埔鄉公所),2015/07/03,　,　,　,　
C0M650,朴子,20,120.239,23.4346,嘉義縣,朴子市竹村里36號(竹村國小),2015/07/03,　,　,　,　
C0M660,溪口,40,120.4036,23.6041,嘉義縣,溪口鄉中正東路103號(溪口國中學生活動中心),2015/07/03,　,　,　,　
C0M670,大林,43,120.4584,23.6006,嘉義縣,大林鎮新興街110號(大林地政事務所),2015/07/03,　,　,　,　
C0M680,太保,37,120.3315,23.4551,嘉義縣,太保市太保里31號(太保市圖書館),2015/07/03,　,　,　,　
C0M690,水上,33,120.3889,23.4197,嘉義縣,水上鄉三鎮村三鎮路119號(水上消防分隊),2015/07/03,　,　,　,　
C0M700,竹崎,150,120.5555,23.5262,嘉義縣,竹崎鄉竹崎村舊車站79號(竹崎消防分隊),2015/07/03,　,　,　,　
C0M710,東石,15,120.1539,23.4589,嘉義縣,東石鄉東石村3號(東石鄉公所),2015/07/03,　,　,　,　
C0M720,番路,225,120.5542,23.4647,嘉義縣,番路鄉下坑村蔡公店101號(番路鄉公所),2015/07/03,　,　,　,　
C0M730,嘉義市東區,40,120.4605,23.4577,嘉義市,親水路123 號(第五河川局水情中心),2015/07/03,　,　,　,　
C0M740,六腳,15,120.2906,23.4929,嘉義縣,六腳鄉蒜頭村73-2號(六腳消防分隊),2015/07/03,　,　,　,　
C0M750,布袋,10,120.1678,23.3809,嘉義縣,布袋鎮龍江里2-2號(布袋消防分隊),2015/07/03,　,　,　,　
C0M760,民雄,40,120.4285,23.5518,嘉義縣,民雄鄉文化路7號(民雄鄉公所),2015/07/03,　,　,　,　
C0M770,嘉義梅山,164,120.5556,23.5854,嘉義縣,梅山鄉中山路282號(梅山鄉公所),2015/07/03,　,　,　,　
C0M780,鹿草,30,120.3084,23.4113,嘉義縣,鹿草鄉西井村287號(鹿草鄉公所),2015/07/03,　,　,　,　
C0M790,新港,15,120.3457,23.5533,嘉義縣,新港鄉公園路28號(新港消防分隊),2015/07/03,　,　,　,　
C0M800,茶山,440,120.6648,23.2991,嘉義縣,阿里山鄉茶山路62號之1(茶山村衛生室),2016/01/01,　,　,　,　
C0M810,里佳,1354,120.7166,23.3891,嘉義縣,阿里山鄉里佳村,2016/01/01,　,　,　,　
C0M820,達邦,980,120.7495,23.454,嘉義縣,阿里山鄉達邦村21號(鄒族自然與文化中心),2016/01/01,　,　,　,　
C0M830,山美,540,120.6682,23.3838,嘉義縣,阿里山鄉山美村(原阿里山鄉農會山美辦事處),2016/01/01,　,　,　,　
C0O810,曾文,161,120.4973,23.2197,臺南市,楠西區曾文新村(曾文水庫管理局內),1988/12/01,　,　,　,　
C0O830,北寮,127,120.495,23.0796,臺南市,南化區北寮里48-4號,2013/04/18,　,原(C1O830)站因擴充為氣象站，於2013/4/18升級為(C0O830)站。,C1O830,　
C0O840,王爺宮,144,120.3995,23.2213,臺南市,六甲區王爺里24號（六甲國小湖東分校）,2013/12/01,　,原(C1O840)站因觀測條件不佳及擴充為氣象站，於2013/12/1升級為(C0O840)站。,C1O840,　
C0O860,大內,38,120.3608,23.1189,臺南市,大內區74201大內里63號(大內國民小學),2013/08/01,　,原(C1O860)站因擴充為氣象站，於2013/8/1升級為(C0O860)站。,C1O860,　
C0O900,善化,9,120.2972,23.1129,臺南市,善化區益民寮60號(亞洲蔬菜研究發展中心內),1988/12/01,　,本站於 2013/5/11 進行儀器汰換，並於2013/8/1完成驗收。,　,　
C0O930,玉井,69,120.4606,23.126,臺南市,玉井區台灣糖業公司玉井糖廠,1988/12/01,　,　,　,　
C0O950,安南,4,120.1449,23.0767,臺南市,安南區公學路6段589號(學東國民小學內),2013/08/01,　,原(C1O950)站因擴充為氣象站，於2013/8/1升級為(C0O950)站。,C1O950,　
C0O960,崎頂,112,120.3693,22.9595,臺南市,龍崎區中坑里5鄰13號,2013/04/18,　,原(C1O960)站因擴充為氣象站，於2013/4/18升級為(C0O960)站。,C1O960,　
C0O970,虎頭埤,71,120.3479,23.0214,臺南市,新化區口埤18號(新化分場),2013/08/01,　,原(C1O970)站因擴充為氣象站，於2013/8/1升級為(C0O970)站。,C1O970,　
C0O980,新市,18,120.2982,23.0616,臺南市,新市區永就里53號(番子寮農場),2013/08/01,　,原(C1O980)站因擴充為氣象站，於2013/8/1升級為(C0O980)站。,C1O980,　
C0O990,媽廟,18,120.2935,22.9918,臺南市,歸仁區中正北路3段60號(保西國民小學內),2013/12/01,　,原(C1O990)站因擴充為氣象站，於2013/12/1升級為(C0O990)站。,C1O990,　
C0R100,尾寮山,1006,120.6839,22.8331,屏東縣,三地門鄉口社檢查站車程約2小時(尾寮山瞭望台旁),1992/05/01,　,本站於2013/10/10進行儀器汰換，並於2013/12/1完成驗收。,　,　
C0R130,阿禮,1040,120.7437,22.7429,屏東縣,霧台鄉(屏東事業區第46林班)由山地文化村開車約2小時需徒步轉波站前面,2013/08/01,　,原(C1R130)站因擴充為氣象站，於2013/8/1升級為(C0R130)站。,C1R130,　
C0R140,瑪家,740,120.6866,22.6829,屏東縣,瑪家鄉瑪家村4鄰24號(後山),2013/08/01,　,原(C1R140)站因擴充為氣象站，於2013/8/1升級為(C0R140)站。,C1R140,　
C0R150,三地門,105,120.6399,22.7099,屏東縣,內埔鄉水門村成功路83號(國立內埔高級農工職業學校內),1992/05/01,　,本站於2013/9/10進行儀器汰換，並於2013/12/1完成驗收。,　,　
C0R160,鹽埔新圍,45,120.5308,22.7396,屏東縣,鹽埔鄉彭厝國民小學校園,2013/12/01,　,原(C1R160)站於2013/12/1變更為(C0R160)站。,C1R160,　
C0R170,屏東,26,120.4941,22.6603,屏東縣,屏東市復興路245號(台灣糖業公司屏東區處場區內),2013/12/01,　,原(C1R170)站於2013/12/1變更為(C0R170)站。,C1R170,　
C0R190,赤山,32,120.6143,22.5923,屏東縣,萬巒鄉建興路40號（赤山國小）,2013/12/01,　,原(C1R190)站因觀測環境不佳，於2013/12/1遷移至(C0R190)站。,C1R190,　
C0R220,潮州,23,120.54,22.5344,屏東縣,潮州鎮光春路290號(屏東縣立光春國民中學內),1992/05/01,　,本站於2013/9/10進行儀器汰換，並於2013/12/1完成驗收。,　,　
C0R240,來義,87,120.6251,22.5273,屏東縣,萬巒鄉新隆路64號萬巒農場（佳佐段180號）,2013/12/01,　,原(C1R240)站因擴充為氣象站，於2013/12/1升級為(C0R240)站。,C1R240,　
C0R260,春日,76,120.6283,22.3704,屏東縣,春日鄉春日國民小學內,2013/12/01,　,原(C1R260)站因擴充為氣象站，於2013/12/1升級為(C0R260)站。,C1R260,　
C0R270,琉球嶼,51,120.3622,22.3322,屏東縣,琉球鄉天台段596及597地號,1997/07/01,　,本站於2013/9/26進行儀器汰換，並於2013/12/1完成驗收。,　,　
C0R280,檳榔,242,120.8368,22.0761,屏東縣,滿州鄉長樂村大公路14號(往南仁山方向),1997/07/01,　,　,　,　
C0R350,貓鼻頭,35,120.7358,21.9218,屏東縣,恆春鎮(貓鼻頭風景區內),1997/07/01,　,　,　,　
C0R360,墾丁,20,120.8022,21.9456,屏東縣,恆春鎮墾丁里牧場路1號(畜產試驗所恆春分所內),1997/07/01,　,　,　,　
C0R370,佳樂水,55,120.8446,21.992,屏東縣,滿州鄉港口村茶山路14號(佳樂山林務局工作站內),1997/07/01,　,　,　,　
C0R380,枋寮,2,120.5896,22.3694,屏東縣,枋寮鄉枋寮村德興路197號(枋寮國民小學操場旁),1997/07/01,　,　,　,　
C0R400,楓港,15,120.6927,22.1902,屏東縣,枋山鄉善餘村光復路24號(楓港國民小學操場旁),1997/07/01,　,　,　,　
C0R420,牡丹池山,504,120.8406,22.1678,屏東縣,牡丹鄉電信轉播臺旁步行約3分鐘(恆春事業區21林班地),1999/04/15,　,　,　,　
C0R430,東港,31,120.4417,22.4649,屏東縣,東港鎮豐漁街66號(國立東港高級海事水產職業學校),2009/01/01,　,本站於2013/6/18 進行儀器汰換，並於2013/8/1完成驗收。,　,　
C0R470,高樹,103,120.6008,22.8264,屏東縣,高樹鄉興中路329號(高樹鄉公所),2013/08/01,　,　,　,　
C0R480,長治,57,120.5426,22.6931,屏東縣,長治鄉德成村中興路572-1號(長治消防分隊),2013/08/01,　,　,　,　
C0R490,九如,49,120.4905,22.7405,屏東縣,九如鄉九如路二段416號(九如鄉公所),2013/08/01,　,　,　,　
C0R500,竹田,32,120.544,22.5849,屏東縣,竹田鄉中正路123號(竹田鄉公所),2013/08/01,　,　,　,　
C0R510,萬丹,31,120.4904,22.5878,屏東縣,萬丹鄉萬安村和平東路69號(萬丹消防分隊),2013/08/01,　,　,　,　
C0R520,崁頂,18,120.5069,22.5148,屏東縣,崁頂鄉崁頂村興農路20之10號(崁頂消防分隊),2013/08/01,　,　,　,　
C0R530,林邊,16,120.51,22.4308,屏東縣,林邊鄉光林村和平路45號(林邊鄉衛生所),2013/08/01,　,　,　,　
C0R540,佳冬,17,120.5524,22.4195,屏東縣,佳冬鄉佳昌路2號(佳冬鄉公所),2013/08/01,　,　,　,　
C0R550,新埤,38,120.5829,22.4679,屏東縣,新埤鄉民眾路103號(新埤消防分隊),2013/08/01,　,　,　,　
C0R560,新園,22,120.4616,22.5434,屏東縣,新園鄉仙吉村店口路116號(新園消防分隊),2013/08/01,　,　,　,　
C0R570,麟洛,37,120.5272,22.6508,屏東縣,麟洛鄉中山路158號(麟洛鄉公所),2013/12/01,　,　,　,　
C0R580,南州,10,120.5027,22.4859,屏東縣,南州鄉溪南村人和路241號(南州消防分隊),2013/08/01,　,　,　,　
C0R590,里港,72,120.4946,22.7792,屏東縣,里港鄉永春村中山路104號(里港鄉公所),2013/08/01,　,　,　,　
C0R600,舊泰武,766,120.6649,22.5882,屏東縣,泰武鄉泰武村良武巷101號(舊泰武村老人活動中心),2013/12/01,　,　,　,　
C0R620,墾雷,34,120.8553,21.9008,屏東縣,恆春鎮燈塔路51巷33號(氣象局墾丁雷達站區內),2016/06/22,　,　,　,　
C0S680,紅葉山,1659,121.0392,22.9198,臺東縣,延平鄉紅葉山瞭望臺旁(延平林道23k處步行約50分鐘),1997/07/01,　,　,　,　
C0S690,太麻里,522,120.9853,22.609,臺東縣,太麻里鄉(往金針山茶區之半路上),1997/07/01,　,　,　,　
C0S700,知本,507,121.0056,22.6849,臺東縣,卑南鄉溫泉村(溫泉國小之樂山分校內),1997/07/01,　,　,　,　
C0S710,鹿野,382,121.123,22.9177,臺東縣,臺東縣鹿野鄉鹿野高台高眺亭公廁東側草地上,1997/07/01,　,於2015/1/1短距離位移。,　,　
C0S730,綠島,110,121.4753,22.6672,臺東縣,綠島鄉,1997/07/01,　,　,　,　
C0S740,池上,289,121.2095,23.1196,臺東縣,池上鄉新興村104號(退輔會臺東農場內),1997/07/01,　,　,　,　
C0S750,向陽,2280,120.9861,23.2484,臺東縣,海端鄉向陽(公路局向陽工務段圍牆內),1997/07/01,　,　,　,　
C0S760,紅石,1621,121.1262,23.0691,臺東縣,海端鄉紅石(紅石瞭望臺旁),1997/07/01,　,　,　,　
C0S770,大溪山,375,120.9433,22.4785,臺東縣,太麻里鄉多良村(廢棄中華電信轉播站旁),1997/07/01,　,　,　,　
C0S790,金崙,236,120.9669,22.5381,臺東縣,太麻里鄉金崙段0304-1地號,2004/06/01,　,　,　,　
C0S810,東河,65,121.304,22.9727,臺東縣,東河鄉北東河17鄰26號(東河國民小學操場旁),2004/06/01,　,原(C1S640)站因擴充為氣象站，於2004/6/1升級為(C0S810)站。,C1S640,　
C0S830,長濱,288,121.412,23.2868,臺東縣,長濱鄉竹湖村移民橋後方山頂三角點旁,2004/06/01,　,原(C1S650)站因擴充為氣象站，於2004/6/1升級為(C0S830)站。,C1S650,　
C0S840,南田,22,120.8892,22.2797,臺東縣,達仁鄉南田村南田風景區公園對面,2004/06/01,　,　,　,　
C0S890,關山,238,121.175,23.0395,臺東縣,關山鎮親水公園內,2016/01/01,　,　,　,　
C0T790,大禹嶺,2830,121.3161,24.1861,花蓮縣,秀林鄉立霧溪事業區67林班地(救國團大禹山莊),1996/01/01,　,　,　,　
C0T820,天祥,550,121.4956,24.1796,花蓮縣,秀林鄉立霧溪事業區80林班地(天祥祥德寺),1996/01/01,　,　,　,　
C0T841,新城,23,121.6095,24.0379,花蓮縣,新城鄉大漢村樹人街1號(大漢技術學院內),2009/10/15,　,原(C0T840)站因移位，於2009/10/15更變為(C0T841)站。,C0T840,　
C0T870,鯉魚潭,135,121.5089,23.9356,花蓮縣,壽豐鄉池南村池南路一段8號(鯉魚潭風景區旁),1996/01/01,　,本站於2017/4/7起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T900,西林,160,121.4415,23.8119,花蓮縣,萬榮鄉西林路8鄰114號(西林國民小學運動場旁),2010/07/01,　,原(C1T900)站因擴充為氣象站，於2010/7/1升級為(C0T900)站，2017/4/14起進行儀器汰換，於2017/6/3完成驗收。,C1T900,　
C0T960,光復,120,121.425,23.6607,花蓮縣,光復鄉大進村糖廠街19號(台糖公司花蓮光復糖廠內),1996/01/01,　,本站於2017/5/3起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9A0,月眉山,498,121.5398,23.8099,花蓮縣,壽豐鄉月眉山旁的小山丘上(過米棧大橋往山上水璉方向至四號橋左轉之山上),2000/10/01,　,本站於2017/5/11起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9B0,水源,558,121.5372,23.9919,花蓮縣,秀林鄉原林務局水源段的苗圃內,2000/10/01,　,本站於2017/3/27起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9C0,富世,109,121.6296,24.1482,花蓮縣,秀林鄉富世村127號(富世國小校園內),2004/06/01,　,　,　,　
C0T9D0,和中,7,121.7413,24.2666,花蓮縣,秀林鄉和平國小和中分校校園內,2004/06/01,　,　,　,　
C0T9E0,大坑,415,121.582,23.8806,花蓮縣,壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁,2004/06/01,　,本站於2017/4/20起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9F0,水璉,283,121.5425,23.7971,花蓮縣,壽豐鄉水璉村,2004/06/01,　,本站於2017/4/27起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9G0,鳳林山,605,121.4201,23.7353,花蓮縣,鳳林鎮,2004/06/01,　,本站於2017/4/6起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9H0,加路蘭山,725,121.5274,23.6829,花蓮縣,豐濱鄉臨海段776-4號之國防部陸軍總司令部加路蘭山營區,2004/06/01,　,本站於2017/4/19起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9I0,豐濱,152,121.5148,23.5839,花蓮縣,豐濱鄉豐濱村,2004/06/01,　,本站於2017/4/25起進行儀器汰換，於2017/6/3完成驗收。,　,　
C0T9M0,靜浦,92,121.495,23.4552,花蓮縣,豐濱鄉靜浦村活動中心後山上,1997/07/01,　,原(C0S720)站因縣市代碼不符，於2008/2/25重新編碼為(C0T9M0)站。,C0S720,　
C0U520,雙連埤,517,121.6413,24.753,宜蘭縣,員山鄉雙連埤地區(需徒步20分鐘),2010/07/01,　,原(C1U521)站因擴充為氣象站，於2010/7/1升級為(C0U520)站。,C1U521,　
C0U600,礁溪,10,121.7655,24.8175,宜蘭縣,礁溪鄉礁溪路四段23號(礁溪國民中學教室後宿舍旁),1996/01/01,　,　,　,　
C0U620,壯圍,17,121.7897,24.7437,宜蘭縣,壯圍鄉壯五路40號(壯圍國民小學操場旁),2010/07/01,　,原(C1U620)站因擴充為氣象站，於2010/7/1升級為(C0U620)站。,C1U620,　
C0U650,玉蘭,494,121.5871,24.6753,宜蘭縣,大同鄉松羅村鹿場路11號(往松羅山頂瞭望亭旁),1996/01/01,　,　,　,　
C0U680,冬山,22,121.7935,24.6324,宜蘭縣,冬山鄉南興村照安路26號(冬山國民中學內),2010/07/01,　,原(C1U680)站因擴充為氣象站，於2010/7/1升級為(C0U680)站。,C1U680,　
C0U710,太平山,1810,121.5257,24.5055,宜蘭縣,大同鄉太平山93林班地(林務局路標22.3k處),1996/01/01,　,　,　,　
C0U730,思源,1984,121.3567,24.3972,宜蘭縣,大同鄉(思源啞口旁，大甲溪事業區第40林班),1996/01/01,　,　,　,　
C0U750,龜山島,398,121.9531,24.8417,宜蘭縣,頭城鎮龜山島山頂401高地觀景台,2002/09/13,　,本站為觀光局所設，交由本局管理。,　,　
C0U760,東澳,32,121.8331,24.5219,宜蘭縣,南澳鄉東岳村蘇花路三段209號(東澳國小校園內),2004/06/01,　,　,　,　
C0U770,南澳,5,121.8102,24.4493,宜蘭縣,南澳鄉中央氣象局地震中心系統維護課之南澳地震站,2005/10/01,　,　,　,　
C0U780,五結,15,121.7979,24.6864,宜蘭縣,五結鄉五結中路二段88號(五結國小),2010/07/01,　,　,　,　
C0V150,表湖,1163,120.6647,23.2602,高雄市,那瑪夏區曾文水庫表湖雨量測報站旁,1988/12/01,　,本站於 2013/3/19 進行儀器汰換，並於2013/8/1完成驗收。,　,　
C0V210,復興,700,120.8061,23.2224,高雄市,桃源區復興里復興巷1鄰15號,2013/04/18,　,原(C1V210)站因擴充為氣象站，於2013/4/18升級為(C0V210)站。,C1V210,　
C0V250,甲仙,270,120.5918,23.0801,高雄市,甲仙區(甲仙國民中學操場後方小山丘上),1992/05/01,　,本站於2013/3/13進行儀器汰換，並於2013/4/18完成驗收。,　,　
C0V260,月眉,65,120.5399,22.971,高雄市,杉林區月眉里山仙路1號月眉農場,2013/08/01,　,原(C1V260)站因擴充為氣象站，於2013/8/1升級為(C0V260)站。,C1V260,　
C0V310,美濃,46,120.5192,22.8987,高雄市,美濃區福安里中山路二段204巷65號(美濃區福安國小後方),1992/05/01,　,本站於 2013/6/15 進行儀器汰換，並於2013/8/1完成驗收。,　,　
C0V350,溪埔,36,120.4468,22.7386,高雄市,大樹區溪埔里之台21線285k-286k間,2013/12/01,　,原(C1V350)站因擴充為氣象站，於2013/12/1升級為(C0V350)站。,C1V350,　
C0V360,內門,94,120.4668,22.9755,高雄市,內門區木柵里木柵3號（木柵國民小學）,2013/12/01,　,原(C1V360)站因擴充為氣象站，於2013/12/1升級為(C0V360)站。,C1V360,　
C0V370,古亭坑,30,120.4019,22.8932,高雄市,田寮區古亭里,1992/05/01,　,本站因儀器汰換，自2013/8/31起暫停資料提供，並於2013/12/1完成驗收。,　,　
C0V400,阿公店,56,120.3555,22.8042,高雄市,燕巢區西燕里工程路1號（阿公店水庫內）,2013/12/01,　,原(C1V400)站因擴充為氣象站，於2013/12/1升級為(C0V400)站。,C1V400,　
C0V440,鳳山,27,120.3561,22.6467,高雄市,鳳山區文山路園藝巷4號（鳳山熱帶園藝試驗分所）,2013/12/01,　,原(C1V440)站因移位及擴充為氣象，於2013/12/1升級為(C0V440)站。,C1V440,　
C0V450,鳳森,51,120.3926,22.5451,高雄市,小港區水庫段96-1地號（鳳山給水廠內）,2013/12/01,　,原(C1V451)站因擴充為氣象站，於2013/12/1升級為(C0V450)站。,C1V451,　
C0V490,新興,20,120.2988,22.6274,高雄市,新興區大同一路231號(大同國小內5樓頂),2009/12/01,　,本站於2013/9/12起進行儀器汰換，並於2013/12/1完成驗收。,　,　
C0V500,旗津,6,120.2859,22.5886,高雄市,旗津區中洲二路207號(旗津國中校園內),2009/12/01,　,本站因儀器汰換，自2013/8/12起暫停資料提供，並於2013/12/1完成驗收。,　,　
C0V530,阿蓮,34,120.3275,22.8832,高雄市,阿蓮區公所樓頂,2013/08/01,　,原(C1V530)站因擴充為氣象站，於2013/8/1升級為(C0V530)站。,C1V530,　
C0V610,梓官,22,120.2672,22.7606,高雄市,梓官區梓官路258號(梓官區公所),2013/12/01,　,　,　,　
C0V620,永安,18,120.2369,22.8232,高雄市,永安區永安路32號(永安消防分隊),2013/12/01,　,　,　,　
C0V630,茄萣,19,120.1826,22.9066,高雄市,茄萣區濱海路四段27號(茄萣區公所),2013/12/01,　,　,　,　
C0V640,湖內,35,120.2445,22.8871,高雄市,湖內區中山路一段290之1號(湖街派出所),2013/12/01,　,　,　,　
C0V650,彌陀,28,120.2464,22.7838,高雄市,彌陀區中正北路7號(彌陀消防分隊),2013/12/01,　,　,　,　
C0V660,岡山,25,120.295,22.7971,高雄市,岡山區岡山路341號(岡山地政事務所),2013/12/01,　,　,　,　
C0V670,楠梓,20,120.286,22.7198,高雄市,楠梓區德民路1010號(國昌國民中學),2013/12/01,　,　,　,　
C0V680,仁武,40,120.3477,22.7011,高雄市,仁武區中正路133號(仁武區公所),2013/12/01,　,　,　,　
C0V690,鼓山,30,120.2756,22.6233,高雄市,鼓山區臨海一路61-1號(鼓山消防分隊),2013/12/01,　,　,　,　
C0V700,三民,24,120.3112,22.645,高雄市,三民區十全一路88號(十全消防分隊),2013/12/01,　,　,　,　
C0V710,苓雅,34,120.3307,22.6227,高雄市,苓雅區三多一路162號(苓雅消防分隊),2013/12/01,　,　,　,　
